timestamp,building_id,sensor_id,temperature,humidity,power_consumption
2025-10-03T09:00:00Z,B004,S03,24.1,60.9,740.0
2025-10-03T03:00:00Z,B004,S03,24.8,50.9,811.0
2025-10-03T18:00:00Z,B009,S02,16.8,73.7,690.0
2025-10-03T15:00:00Z,B002,S01,18.0,62.7,554.0
2025-10-04T12:00:00Z,B006,S02,20.4,59.0,695.0
2025-10-02T09:00:00Z,B009,S02,24.8,52.5,746.0
2025-10-04T21:00:00Z,B002,S01,17.0,61.9,561.0
2025-10-04T18:00:00Z,B007,S03,15.0,63.4,562.0
2025-10-04T18:00:00Z,B007,S01,16.8,66.7,647.0
2025-10-01T18:00:00Z,B001,S02,,68.3,522.0
2025-10-02T12:00:00Z,B010,S02,20.5,62.3,833.0
2025-10-02T00:00:00Z,B002,S01,20.6,47.2,718.0
2025-10-05T06:00:00Z,B001,S01,25.8,51.5,741.0
2025-10-01T00:00:00Z,B003,S02,22.1,55.0,672.0
2025-10-05T06:00:00Z,B005,S03,25.1,54.8,653.0
2025-10-01T03:00:00Z,B007,S01,24.0,49.7,704.0
2025-10-02T00:00:00Z,B010,S02,21.9,55.9,710.0
2025-10-05T21:00:00Z,B004,S01,16.4,55.3,529.0
2025-10-02T18:00:00Z,B006,S03,16.4,65.4,567.0
2025-10-04T15:00:00Z,B001,S03,16.8,71.7,671.0
2025-10-04T15:00:00Z,B006,S02,19.1,60.9,632.0
2025-10-01T21:00:00Z,B008,S02,17.4,59.4,636.0
2025-10-05T06:00:00Z,B004,S03,27.3,44.4,810.0
2025-10-01T09:00:00Z,B010,S03,26.3,50.2,814.0
2025-10-04T00:00:00Z,B005,S02,20.8,54.8,754.0
2025-10-02T09:00:00Z,B001,S02,22.8,57.3,606.0
2025-10-04T09:00:00Z,B010,S03,25.6,59.4,824.0
2025-10-01T12:00:00Z,B010,S02,22.1,56.5,812.0
2025-10-01T03:00:00Z,B008,S01,26.3,50.5,887.0
2025-10-04T06:00:00Z,B002,S02,27.4,51.7,707.0
2025-10-05T18:00:00Z,B003,S02,15.5,69.8,572.0
2025-10-03T12:00:00Z,B002,S01,20.6,62.2,669.0
2025-10-03T21:00:00Z,B008,S03,18.7,56.6,856.0
2025-10-02T03:00:00Z,B009,S01,24.8,49.2,780.0
2025-10-03T21:00:00Z,B001,S02,17.0,64.1,517.0
2025-10-01T18:00:00Z,B010,S03,17.3,66.4,706.0
2025-10-05T12:00:00Z,B007,S01,21.1,61.7,623.0
2025-10-02T06:00:00Z,B007,S03,25.5,49.1,836.0
2025-10-03T06:00:00Z,B001,S03,25.2,44.8,803.0
2025-10-04T15:00:00Z,B002,S02,17.3,68.0,692.0
2025-10-03T12:00:00Z,B006,S01,19.4,64.1,628.0
2025-10-03T12:00:00Z,B002,S03,20.1,55.9,717.0
2025-10-02T21:00:00Z,B009,S01,17.0,50.7,661.0
2025-10-01T21:00:00Z,B004,S02,16.5,53.9,596.0
2025-10-04T09:00:00Z,B009,S03,25.0,53.2,790.0
2025-10-02T18:00:00Z,B010,S03,-10.0,66.7,636.0
2025-10-02T18:00:00Z,B003,S03,14.8,61.4,480.0
2025-10-02T09:00:00Z,B005,S02,24.3,54.9,821.0
2025-10-01T03:00:00Z,B006,S03,25.1,51.7,775.0
2025-10-03T09:00:00Z,B003,S03,24.5,57.9,764.0
2025-10-05T15:00:00Z,B005,S02,17.6,69.1,646.0
2025-10-02T15:00:00Z,B006,S02,18.6,71.6,650.0
2025-10-05T03:00:00Z,B001,S03,25.5,51.9,788.0
2025-10-02T18:00:00Z,B004,S01,15.3,64.4,565.0
2025-10-03T00:00:00Z,B002,S03,21.0,51.1,528.0
2025-10-02T12:00:00Z,B007,S03,19.9,63.7,731.0
2025-10-01T21:00:00Z,B004,S01,16.0,59.9,692.0
2025-10-04T03:00:00Z,B010,S01,25.5,52.1,790.0
2025-10-01T15:00:00Z,B010,S01,18.4,69.2,692.0
2025-10-05T15:00:00Z,B009,S01,19.5,66.1,826.0
2025-10-01T09:00:00Z,B001,S03,22.7,57.3,733.0
2025-10-02T03:00:00Z,B001,S01,23.2,50.6,716.0
2025-10-02T21:00:00Z,B010,S01,18.4,62.4,659.0
2025-10-02T15:00:00Z,B001,S02,16.6,61.4,546.0
2025-10-01T15:00:00Z,B008,S03,17.3,66.1,584.0
2025-10-03T00:00:00Z,B003,S03,21.5,54.3,692.0
2025-10-02T12:00:00Z,B003,S01,21.1,62.7,682.0
2025-10-03T00:00:00Z,B009,S02,21.0,52.6,798.0
2025-10-01T15:00:00Z,B005,S03,17.9,66.0,626.0
2025-10-04T03:00:00Z,B007,S02,24.4,46.9,726.0
2025-10-03T18:00:00Z,B003,S01,14.8,71.3,485.0
2025-10-03T15:00:00Z,B007,S02,17.0,65.0,677.0
2025-10-05T03:00:00Z,B007,S03,24.8,52.4,823.0
2025-10-04T21:00:00Z,B007,S03,18.5,58.7,764.0
2025-10-01T06:00:00Z,B006,S02,24.5,50.0,784.0
2025-10-05T18:00:00Z,B008,S01,17.5,58.3,683.0
2025-10-02T12:00:00Z,B002,S02,20.2,60.3,664.0
2025-10-05T18:00:00Z,B003,S01,16.1,68.6,689.0
2025-10-02T06:00:00Z,B010,S01,27.6,50.2,842.0
2025-10-04T21:00:00Z,B005,S02,16.3,57.3,505.0
2025-10-01T15:00:00Z,B002,S03,17.4,65.2,572.0
2025-10-03T12:00:00Z,B009,S02,20.5,66.0,649.0
2025-10-02T06:00:00Z,B005,S02,25.9,52.0,745.0
2025-10-02T06:00:00Z,B006,S01,24.5,48.7,815.0
2025-10-02T18:00:00Z,B001,S02,14.1,60.5,511.0
2025-10-03T09:00:00Z,B007,S02,24.5,58.7,760.0
2025-10-01T03:00:00Z,B004,S01,24.2,50.3,710.0
2025-10-03T21:00:00Z,B006,S01,18.1,63.8,629.0
2025-10-03T03:00:00Z,B008,S01,23.6,47.0,809.0
2025-10-02T00:00:00Z,B010,S01,22.4,52.7,706.0
2025-10-02T12:00:00Z,B009,S02,21.2,58.7,778.0
2025-10-04T06:00:00Z,B002,S01,25.8,53.8,727.0
2025-10-01T00:00:00Z,B008,S03,20.8,53.3,701.0
2025-10-02T06:00:00Z,B002,S02,26.3,49.7,671.0
2025-10-01T00:00:00Z,B001,S02,19.5,50.8,647.0
2025-10-02T18:00:00Z,B005,S02,14.8,62.6,560.0
2025-10-03T12:00:00Z,B005,S01,21.7,59.9,679.0
2025-10-03T06:00:00Z,B004,S02,24.8,57.1,677.0
2025-10-04T21:00:00Z,B002,S03,19.0,61.2,672.0
2025-10-03T15:00:00Z,B001,S03,16.6,60.3,597.0
2025-10-02T03:00:00Z,B005,S01,24.0,50.9,773.0
2025-10-04T06:00:00Z,B004,S02,26.4,48.1,715.0
2025-10-01T18:00:00Z,B003,S03,15.4,67.4,541.0
2025-10-05T03:00:00Z,B004,S03,24.6,51.9,649.0
2025-10-04T18:00:00Z,B007,S02,16.9,67.3,-50.0
2025-10-03T03:00:00Z,B001,S03,23.6,49.0,723.0
2025-10-04T09:00:00Z,B006,S01,25.9,58.1,786.0
2025-10-02T03:00:00Z,B005,S03,25.2,50.5,933.0
2025-10-04T12:00:00Z,B008,S03,20.9,56.0,716.0
2025-10-04T12:00:00Z,B007,S01,22.8,69.5,620.0
2025-10-05T18:00:00Z,B009,S02,15.9,60.6,576.0
2025-10-03T12:00:00Z,B008,S02,20.6,64.8,651.0
2025-10-01T03:00:00Z,B010,S01,24.5,53.0,767.0
2025-10-05T15:00:00Z,B005,S03,17.0,73.6,609.0
2025-10-05T12:00:00Z,B005,S02,21.2,55.7,749.0
2025-10-03T03:00:00Z,B006,S03,23.2,47.5,788.0
2025-10-05T06:00:00Z,B007,S01,26.4,47.7,802.0
2025-10-03T12:00:00Z,B005,S02,21.9,63.9,845.0
2025-10-01T18:00:00Z,B008,S02,17.7,58.9,596.0
2025-10-04T06:00:00Z,B009,S01,27.4,56.6,843.0
2025-10-02T06:00:00Z,B009,S01,25.9,48.4,863.0
2025-10-04T18:00:00Z,B008,S03,17.6,61.8,541.0
2025-10-03T09:00:00Z,B002,S02,22.8,53.0,716.0
2025-10-04T15:00:00Z,B009,S03,18.2,60.9,584.0
2025-10-05T12:00:00Z,B010,S01,22.4,61.3,711.0
2025-10-04T09:00:00Z,B006,S02,23.9,53.1,590.0
2025-10-03T06:00:00Z,B005,S01,27.4,53.5,741.0
2025-10-03T06:00:00Z,B008,S01,26.9,55.4,765.0
2025-10-04T00:00:00Z,B006,S02,20.8,51.4,610.0
2025-10-02T15:00:00Z,B010,S03,18.3,66.9,678.0
2025-10-04T21:00:00Z,B005,S01,18.3,62.2,590.0
2025-10-03T03:00:00Z,B001,S01,23.1,55.6,628.0
2025-10-01T09:00:00Z,B006,S01,24.3,50.5,755.0
2025-10-02T15:00:00Z,B003,S01,16.9,70.4,563.0
2025-10-02T21:00:00Z,B004,S02,16.1,58.1,641.0
2025-10-03T09:00:00Z,B007,S01,24.5,50.5,793.0
2025-10-04T15:00:00Z,B005,S01,16.0,66.1,615.0
2025-10-04T09:00:00Z,B005,S01,23.4,55.6,677.0
2025-10-01T21:00:00Z,B006,S03,17.9,58.6,611.0
2025-10-01T15:00:00Z,B003,S02,17.4,66.7,718.0
2025-10-05T09:00:00Z,B003,S03,24.4,55.7,750.0
2025-10-05T00:00:00Z,B007,S02,22.3,54.0,626.0
2025-10-02T09:00:00Z,B004,S03,23.5,58.6,860.0
2025-10-04T06:00:00Z,B005,S03,25.6,49.0,839.0
2025-10-04T12:00:00Z,B006,S03,21.5,,685.0
2025-10-01T15:00:00Z,B003,S03,16.0,66.9,532.0
2025-10-04T12:00:00Z,B001,S03,20.4,63.9,552.0
2025-10-03T03:00:00Z,B009,S02,25.9,48.7,767.0
2025-10-02T12:00:00Z,B009,S03,21.6,65.3,774.0
2025-10-05T09:00:00Z,B008,S03,25.5,55.4,660.0
2025-10-03T09:00:00Z,B001,S03,22.8,56.9,726.0
2025-10-03T18:00:00Z,B010,S03,17.2,64.5,666.0
2025-10-01T12:00:00Z,B002,S03,20.0,60.7,621.0
2025-10-05T21:00:00Z,B006,S02,17.1,68.0,641.0
2025-10-02T18:00:00Z,B009,S03,16.1,67.7,695.0
2025-10-02T09:00:00Z,B008,S01,25.3,58.0,834.0
2025-10-02T15:00:00Z,B007,S01,16.7,71.9,478.0
2025-10-05T21:00:00Z,B010,S03,18.7,57.4,772.0
2025-10-02T06:00:00Z,B009,S03,27.1,54.7,834.0
2025-10-02T21:00:00Z,B008,S01,18.7,61.6,623.0
2025-10-01T12:00:00Z,B009,S01,21.5,59.5,725.0
2025-10-03T06:00:00Z,B010,S03,26.5,54.0,862.0
2025-10-03T21:00:00Z,B003,S01,15.6,63.4,442.0
2025-10-01T09:00:00Z,B009,S01,26.0,53.5,759.0
2025-10-01T12:00:00Z,B003,S02,20.7,58.0,655.0
2025-10-03T21:00:00Z,B001,S01,16.7,62.3,616.0
2025-10-05T00:00:00Z,B007,S03,20.4,55.3,708.0
2025-10-04T12:00:00Z,B002,S03,19.6,60.0,628.0
2025-10-04T03:00:00Z,B006,S02,23.2,49.3,645.0
2025-10-03T03:00:00Z,B008,S03,24.5,53.1,785.0
2025-10-04T15:00:00Z,B008,S01,18.2,67.9,654.0
2025-10-04T00:00:00Z,B003,S01,20.7,54.2,549.0
2025-10-01T09:00:00Z,B002,S01,23.2,54.4,776.0
2025-10-05T18:00:00Z,B010,S01,16.1,69.0,572.0
2025-10-01T09:00:00Z,B010,S01,25.4,60.3,848.0
2025-10-04T18:00:00Z,B009,S03,16.7,60.0,618.0
2025-10-02T03:00:00Z,B006,S02,25.2,53.1,807.0
2025-10-04T18:00:00Z,B003,S01,15.6,62.4,593.0
2025-10-04T06:00:00Z,B005,S01,24.9,43.6,645.0
2025-10-01T00:00:00Z,B007,S01,20.8,52.3,768.0
2025-10-02T12:00:00Z,B004,S03,21.5,63.3,596.0
2025-10-01T00:00:00Z,B007,S03,20.9,54.4,813.0
2025-10-04T18:00:00Z,B001,S02,15.2,71.1,462.0
2025-10-01T15:00:00Z,B005,S02,16.9,70.4,615.0
2025-10-05T12:00:00Z,B004,S01,21.7,61.8,2500.0
2025-10-02T09:00:00Z,B002,S02,24.3,52.5,717.0
2025-10-05T18:00:00Z,B010,S03,16.7,67.1,546.0
2025-10-02T00:00:00Z,B002,S02,19.8,55.1,673.0
2025-10-04T12:00:00Z,B005,S02,20.1,63.1,687.0
2025-10-04T03:00:00Z,B003,S02,24.8,57.5,718.0
2025-10-04T21:00:00Z,B006,S01,17.6,58.3,659.0
2025-10-01T15:00:00Z,B002,S01,18.1,64.7,518.0
2025-10-01T15:00:00Z,B008,S01,18.4,62.4,605.0
2025-10-01T09:00:00Z,B003,S02,24.1,51.6,691.0
2025-10-01T12:00:00Z,B002,S02,20.4,66.7,706.0
2025-10-01T18:00:00Z,B007,S02,16.8,57.3,693.0
2025-10-02T12:00:00Z,B005,S01,20.8,59.7,738.0
2025-10-01T21:00:00Z,B007,S03,17.4,58.6,692.0
2025-10-01T06:00:00Z,B001,S02,25.5,58.4,740.0
2025-10-04T21:00:00Z,B007,S01,16.9,56.5,560.0
2025-10-05T21:00:00Z,B008,S01,19.0,63.9,635.0
2025-10-02T03:00:00Z,B004,S02,24.5,44.9,791.0
2025-10-02T12:00:00Z,B002,S01,21.2,59.5,778.0
2025-10-03T06:00:00Z,B010,S02,25.9,51.5,801.0
2025-10-04T12:00:00Z,B005,S01,19.8,68.8,693.0
2025-10-05T18:00:00Z,B001,S01,14.7,67.2,632.0
2025-10-03T00:00:00Z,B009,S03,22.5,57.2,671.0
2025-10-01T09:00:00Z,B005,S03,25.4,62.5,707.0
2025-10-02T09:00:00Z,B005,S03,23.2,55.6,734.0
2025-10-02T18:00:00Z,B008,S03,16.0,65.0,575.0
2025-10-02T06:00:00Z,B008,S02,25.5,46.5,721.0
2025-10-05T15:00:00Z,B008,S01,18.5,66.7,648.0
2025-10-04T18:00:00Z,B008,S01,15.0,62.1,604.0
2025-10-02T15:00:00Z,B001,S01,17.7,64.6,586.0
2025-10-01T18:00:00Z,B002,S02,14.9,70.1,542.0
2025-10-05T18:00:00Z,B005,S01,15.6,63.9,634.0
2025-10-04T00:00:00Z,B002,S03,20.9,53.9,726.0
2025-10-04T06:00:00Z,B003,S02,24.6,50.2,754.0
2025-10-05T09:00:00Z,B008,S01,24.6,52.9,843.0
2025-10-04T21:00:00Z,B003,S03,18.3,61.0,558.0
2025-10-02T12:00:00Z,B004,S01,21.4,59.4,674.0
